rho,seed,context_split,gamma,reward,spent_ratio,tau
0.85,10130,train,0.3,261.0,0.9999348340735716,4569
0.85,10131,train,0.3,259.0,0.9998925093482522,4573
0.85,10132,train,0.3,247.0,0.9999936260826447,4580
0.85,10123,train,1.0,243.0,0.9999438583991107,4981
0.85,10124,train,1.0,282.0,0.9999847336166046,4981
0.85,10125,train,1.0,244.0,0.9999893351162181,4967
0.85,10126,train,1.0,249.0,0.9999975857945049,4953
0.85,10127,train,1.0,279.0,0.9999411009970833,4987
0.85,10128,train,1.0,271.0,0.9999553069437251,4965
0.85,10129,train,1.0,282.0,0.9999910116616417,4953
0.85,10130,train,1.0,263.0,0.9999467674353544,4978
0.85,10131,train,1.0,266.0,0.9999530832136378,4982
0.85,10132,train,1.0,248.0,0.9999710821895038,4982
0.85,10123,train,2.0,283.0,0.8939875389828401,5000
0.85,10124,train,2.0,276.0,0.8914057499941658,5000
0.85,10125,train,2.0,259.0,0.8906241354170967,5000
0.85,10126,train,2.0,266.0,0.8913242636498283,5000
0.85,10127,train,2.0,289.0,0.8918851316115436,5000
0.85,10128,train,2.0,271.0,0.8939635809449589,5000
0.85,10129,train,2.0,266.0,0.8887938430730035,5000
0.85,10130,train,2.0,271.0,0.8922239733163049,5000
0.85,10131,train,2.0,280.0,0.8973700009794796,5000
0.85,10132,train,2.0,282.0,0.8899737418329015,5000
0.85,10123,train,3.0,278.0,0.7921070824861527,5000
0.85,10124,train,3.0,235.0,0.7920611766226151,5000
0.85,10125,train,3.0,236.0,0.7893824410789153,5000
0.85,10126,train,3.0,278.0,0.7945541945345261,5000
0.85,10127,train,3.0,256.0,0.7922730167753557,5000
0.85,10128,train,3.0,269.0,0.7892529132225934,5000
0.85,10129,train,3.0,267.0,0.7899324979782104,5000
0.85,10130,train,3.0,288.0,0.7923061751407735,5000
0.85,10131,train,3.0,255.0,0.795421588806545,5000
0.85,10132,train,3.0,259.0,0.7914366128725164,5000
0.85,10123,train,5.0,284.0,0.668118074410102,5000
0.85,10124,train,5.0,272.0,0.66896062410579,5000
0.85,10125,train,5.0,239.0,0.668982971885625,5000
0.85,10126,train,5.0,296.0,0.6690510942515205,5000
0.85,10127,train,5.0,308.0,0.6718023851128185,5000
0.85,10128,train,5.0,268.0,0.6703045049414915,5000
0.85,10129,train,5.0,281.0,0.668446836233139,5000
0.85,10130,train,5.0,306.0,0.6701653205647188,5000
0.85,10131,train,5.0,302.0,0.669187687775668,5000
0.85,10132,train,5.0,277.0,0.6693859536577673,5000
0.85,10123,train,10.0,272.0,0.5775616165189182,5000
0.85,10124,train,10.0,305.0,0.5770728827224059,5000
0.85,10125,train,10.0,312.0,0.5783352657977272,5000
0.85,10126,train,10.0,277.0,0.5775233064960031,5000
0.85,10127,train,10.0,332.0,0.5778807203980053,5000
0.85,10128,train,10.0,296.0,0.5779842662180171,5000
0.85,10129,train,10.0,318.0,0.5781319534988965,5000
0.85,10130,train,10.0,317.0,0.57738438168694,5000
0.85,10131,train,10.0,261.0,0.577035905753865,5000
0.85,10132,train,10.0,280.0,0.5775405624894535,5000
